year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2011,BMW,3 Series,328i,Convertible,automatic,wbadw7c56be728036,ca,46.0,30816.0,gray,black,financial services remarketing (lease),25500,23500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5c52bf125527,ca,44.0,29932.0,blue,tan,financial services remarketing (lease),20500,20500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk7g55bnn71294,ca,43.0,30185.0,black,black,financial services remarketing (lease),20500,20500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Volvo,S60,T5,Sedan,automatic,yv1622fs6c2110420,ca,42.0,43827.0,white,black,galpin ford studio rentals,15500,16500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph7c50be852696,ca,4.0,35905.0,white,black,financial services remarketing (lease),19250,20250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g56bnm83213,ca,47.0,50414.0,white,gray,financial services remarketing (lease),17300,18000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Toyota,Prius Plug-in,Base,Hatchback,automatic,jtdkn3dp2c3008090,ca,37.0,46288.0,green,gray,myrddin fleet services,16800,22200,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2012,Toyota,Corolla,S,Sedan,automatic,5yfbu4ee3cp012064,ca,32.0,46204.0,gray,black,toyota financial services,11450,10900,Wed Dec 17 2014 13:00:00 GMT-0800 (PST)
2011,Audi,A4,2.0T Premium,Sedan,automatic,wauefafl6bn041490,ca,1.0,42301.0,gray,black,vw credit,16650,14100,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Volvo,XC60,3.2,SUV,automatic,yv4940dl8c2329213,ca,42.0,49150.0,black,black,volvo na lemon law/world omni,19200,17000,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g51bnm83393,ca,36.0,36996.0,black,black,financial services remarketing (lease),19100,19500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g5xbnn81193,ca,4.0,24304.0,black,beige,financial services remarketing (lease),21100,21750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Ford,Fusion,SE,Sedan,automatic,3fahp0ha6br191945,ca,29.0,88759.0,black,black,remarketing by ge/manheim southern california,7575,6100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6apxbm604347,ca,44.0,42648.0,gray,gray,nissan infiniti lt,16500,17000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Dodge,Charger,Base,Sedan,automatic,2b3cl3cg9bh509325,ca,2.0,71171.0,gray,black,tycon enterprises,12150,12250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap5bm830893,ca,35.0,39834.0,white,gray,nissan infiniti lt,16700,17000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap6bm604314,ca,42.0,31234.0,black,black,nissan infiniti lt,17350,18500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap5bm604255,ca,35.0,31757.0,black,black,nissan infiniti lt,17300,17000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap8bm603696,ca,36.0,28066.0,black,black,nissan infiniti lt,17550,17000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Chrysler,200,Limited,Sedan,automatic,1c3bc2fb9bn582842,ca,19.0,78503.0,blue,black,cig financial,8875,7300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,Chevrolet,Equinox,LT1,SUV,automatic,2cnaldec1b6444564,ca,27.0,29994.0,gray,gray,bank of the west,14750,12500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Ford,Escape,XLT,SUV,automatic,1fmcu0dg4bkb99906,ca,39.0,95391.0,white,beige,ge fleet services for itself/servicer,7975,9750,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2011,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj1bm111964,ca,41.0,73147.0,silver,black,star ford lincoln,6500,6800,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2011,Ford,Edge,SEL,SUV,automatic,2fmdk3jc8bbb61442,ca,47.0,27219.0,white,tan,ford motor credit company llc pd,18750,21400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,BMW,X3,xDrive28i,SUV,automatic,5uxwx5c54blw13930,ca,41.0,37428.0,brown,brown,ubs wholesale,26300,25250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,1gcrcrea8bz323117,ca,37.0,106535.0,blue,black,m and m enterprises,11550,12750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Honda,Accord,SE,Sedan,automatic,1hgcp2f64ba122987,ca,33.0,29864.0,gray,black,ahfc/honda lease trust/hvt  inc. eot,12450,13400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Honda,Accord,LX,Sedan,automatic,1hgcp2f32ba077747,ca,39.0,32555.0,blue,black,exeter finance corp,10800,12800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Honda,CR-Z,Base,Hatchback,manual,jhmzf1c43bs000087,ca,27.0,53684.0,black,gray,jpmorgan chase bank n.a.,8050,8800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
